,Location Name,Longitude,Latitude,Location Code
0,Buenos Aires,-60.557220155635086,-36.67373207097271,Buenos Aires
1,Catamarca,-66.94768934330637,-27.335892767364722,Catamarca
2,Chaco,-60.7658296947485,-26.386431043693555,Chaco
3,Chubut,-68.52675939433703,-43.78862335299065,Chubut
4,Ciudad Autónoma de Buenos Aires,-58.44590845320817,-34.61448691831742,Ciudad Autónoma de Buenos Aires
5,Corrientes,-57.801219206316055,-28.77430470881114,Corrientes
6,Córdoba,-63.801860767723134,-32.14291978255992,Córdoba
7,Entre Ríos,-59.201447551459324,-32.05887354363568,Entre Ríos
8,Formosa,-59.93245742884857,-24.894948067561035,Formosa
9,Jujuy,-65.76432925266494,-23.319990297748763,Jujuy
10,La Pampa,-65.44665104849989,-37.13157376976465,La Pampa
11,La Rioja,-67.18173596944034,-29.685776298322217,La Rioja
12,Mendoza,-68.58312770133203,-34.62997935920159,Mendoza
13,Misiones,-54.6517665154359,-26.87543653283436,Misiones
14,Neuquén,-70.11876961376427,-38.64169774343587,Neuquén
15,Río Negro,-67.22939812396766,-40.405770720314415,Río Negro
16,Salta,-64.81450472261389,-24.299274568984416,Salta
17,San Juan,-68.88949084869571,-30.865367997974094,San Juan
18,San Luis,-66.02812981955644,-33.75772574491318,San Luis
19,Santa Cruz,-69.95576216717474,-48.815485182717715,Santa Cruz
20,Santa Fe,-60.94991396408538,-30.707066098092987,Santa Fe
21,Santiago del Estero,-63.252383405011734,-27.78241591491137,Santiago del Estero
22,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",-50.74275073408358,-82.5215167949743,"Tierra del Fuego, Antártida e Islas del Atlántico Sur"
23,Tucumán,-65.36485177274713,-26.948060245314338,Tucumán
0,B.Blanca,-62.50175049429062,-38.83921282099793,B.Blanca
1,Bs As,-58.55587451290465,-34.74386716606513,Bs As
2,Cordoba,-63.940221868627056,-31.65037751125831,Cordoba
3,Quequen,-58.96920201164694,-38.22209199940823,Quequen
4,Resto del País,-53.39445605657496,-76.41087747409392,Resto del País
5,Rosario N,-61.15343078914532,-32.7969042904013,Rosario N
6,Rosario S,-60.80010564215306,-33.354861549175205,Rosario S
7,Zona 1,-69.36887728513516,-36.58435034574774,Zona 1
8,Zona 10,-66.60462252738466,-33.32864315948393,Zona 10
9,Zona 11,-63.7826725767525,-29.655976736270457,Zona 11
10,Zona 12,-61.50201076685652,-32.19009600505258,Zona 12
11,Zona 13,-59.33208831530465,-32.76581425703055,Zona 13
12,Zona 14,-60.732104050757535,-29.762853470402582,Zona 14
13,Zona 15,-62.85060831463467,-27.122289809109166,Zona 15
14,Zona 16,-66.49276813086801,-26.46990237336274,Zona 16
15,Zona 17,-62.205676579744285,-24.65552770421934,Zona 17
16,Zona 18,-57.48956259705552,-28.970508138323638,Zona 18
17,Zona 2,-63.59016634538844,-37.699647285647686,Zona 2
18,Zona 3,-60.61061369617934,-37.876275133447045,Zona 3
19,Zona 4,-58.49237621255235,-36.585647341212265,Zona 4
20,Zona 5,-59.33260995812093,-34.54570314867753,Zona 5
21,Zona 6,-60.19183397228752,-34.6880812334821,Zona 6
22,Zona 7,-62.60224107104896,-35.5483058588376,Zona 7
23,Zona 8,-62.418499005795965,-32.66200135530381,Zona 8
24,Zona 9,-64.03518527276779,-33.52414449438675,Zona 9
