,Año,Cantidad Transportada (MTn),Cultivo,Destino,Origen,Step From,Step To
0,2015,0.7654035199999999,Maiz,B.Blanca,Buenos Aires,0,1
1,2016,1.7046780900000003,Maiz,B.Blanca,Buenos Aires,0,1
2,2017,1.47864984,Maiz,B.Blanca,Buenos Aires,0,1
3,2018,1.4141174100000002,Maiz,B.Blanca,Buenos Aires,0,1
4,2019,2.4978749900000006,Maiz,B.Blanca,Buenos Aires,0,1
5,2020,0.827688,Maiz,B.Blanca,Buenos Aires,0,1
6,2015,0.22462024000000003,Maiz,Bs As,Buenos Aires,0,1
7,2016,0.11902857000000003,Maiz,Bs As,Buenos Aires,0,1
8,2017,0.13664557000000005,Maiz,Bs As,Buenos Aires,0,1
9,2018,0.14736006000000001,Maiz,Bs As,Buenos Aires,0,1
10,2019,0.08338282000000001,Maiz,Bs As,Buenos Aires,0,1
11,2020,0.00549,Maiz,Bs As,Buenos Aires,0,1
12,2015,0.00014453,Maiz,Cordoba,Buenos Aires,0,1
13,2016,0.00017166,Maiz,Cordoba,Buenos Aires,0,1
14,2018,0.002227,Maiz,Cordoba,Buenos Aires,0,1
15,2019,0.002525,Maiz,Cordoba,Buenos Aires,0,1
16,2015,0.29162795,Maiz,Quequen,Buenos Aires,0,1
17,2016,0.92260282,Maiz,Quequen,Buenos Aires,0,1
18,2017,0.6884915100000001,Maiz,Quequen,Buenos Aires,0,1
19,2018,0.8454822099999997,Maiz,Quequen,Buenos Aires,0,1
20,2019,1.2451773699999997,Maiz,Quequen,Buenos Aires,0,1
21,2020,0.52745722,Maiz,Quequen,Buenos Aires,0,1
22,2015,0.0011208099999999999,Maiz,Resto del País,Buenos Aires,0,1
23,2016,0.0006952600000000002,Maiz,Resto del País,Buenos Aires,0,1
24,2017,0.00129534,Maiz,Resto del País,Buenos Aires,0,1
25,2018,0.00021746,Maiz,Resto del País,Buenos Aires,0,1
26,2019,0.001,Maiz,Resto del País,Buenos Aires,0,1
27,2015,0.31787913,Maiz,Rosario N,Buenos Aires,0,1
28,2016,0.50553906,Maiz,Rosario N,Buenos Aires,0,1
29,2017,0.4295813000000001,Maiz,Rosario N,Buenos Aires,0,1
30,2018,0.3438201199999999,Maiz,Rosario N,Buenos Aires,0,1
31,2019,0.69375922,Maiz,Rosario N,Buenos Aires,0,1
32,2020,0.33343306000000006,Maiz,Rosario N,Buenos Aires,0,1
33,2015,0.5438703899999999,Maiz,Rosario S,Buenos Aires,0,1
34,2016,0.8475711500000004,Maiz,Rosario S,Buenos Aires,0,1
35,2017,0.9738111200000001,Maiz,Rosario S,Buenos Aires,0,1
36,2018,0.89553896,Maiz,Rosario S,Buenos Aires,0,1
37,2019,1.2874561599999996,Maiz,Rosario S,Buenos Aires,0,1
38,2020,0.66043944,Maiz,Rosario S,Buenos Aires,0,1
39,2022,0.0002,Maiz,Rosario S,Buenos Aires,0,1
40,2015,0.00210312,Maiz,Zona 1,Buenos Aires,0,1
41,2016,0.00037,Maiz,Zona 1,Buenos Aires,0,1
42,2017,0.0001754,Maiz,Zona 1,Buenos Aires,0,1
43,2018,0.00024,Maiz,Zona 1,Buenos Aires,0,1
44,2019,2.3e-05,Maiz,Zona 1,Buenos Aires,0,1
45,2015,0.00078,Maiz,Zona 10,Buenos Aires,0,1
46,2016,0.00038452000000000007,Maiz,Zona 10,Buenos Aires,0,1
47,2017,0.00190352,Maiz,Zona 10,Buenos Aires,0,1
48,2018,0.00989691,Maiz,Zona 10,Buenos Aires,0,1
49,2019,0.009328519999999998,Maiz,Zona 10,Buenos Aires,0,1
50,2020,0.00055,Maiz,Zona 10,Buenos Aires,0,1
51,2015,0.00352879,Maiz,Zona 11,Buenos Aires,0,1
52,2016,0.0025918200000000003,Maiz,Zona 11,Buenos Aires,0,1
53,2017,0.01049498,Maiz,Zona 11,Buenos Aires,0,1
54,2018,0.03091786,Maiz,Zona 11,Buenos Aires,0,1
55,2019,0.026284780000000004,Maiz,Zona 11,Buenos Aires,0,1
56,2020,0.004619,Maiz,Zona 11,Buenos Aires,0,1
57,2015,0.02941386,Maiz,Zona 12,Buenos Aires,0,1
58,2016,0.0796924,Maiz,Zona 12,Buenos Aires,0,1
59,2017,0.08117144999999999,Maiz,Zona 12,Buenos Aires,0,1
60,2018,0.01584501,Maiz,Zona 12,Buenos Aires,0,1
61,2019,0.052950800000000006,Maiz,Zona 12,Buenos Aires,0,1
62,2020,0.041345,Maiz,Zona 12,Buenos Aires,0,1
63,2015,0.012144050000000002,Maiz,Zona 13,Buenos Aires,0,1
64,2016,0.06580406999999999,Maiz,Zona 13,Buenos Aires,0,1
65,2017,0.01866129,Maiz,Zona 13,Buenos Aires,0,1
66,2018,0.022477260000000002,Maiz,Zona 13,Buenos Aires,0,1
67,2019,0.00682996,Maiz,Zona 13,Buenos Aires,0,1
68,2015,0.01921039,Maiz,Zona 14,Buenos Aires,0,1
69,2016,0.04277832,Maiz,Zona 14,Buenos Aires,0,1
70,2017,0.01568795,Maiz,Zona 14,Buenos Aires,0,1
71,2018,0.01199565,Maiz,Zona 14,Buenos Aires,0,1
72,2019,0.012560120000000001,Maiz,Zona 14,Buenos Aires,0,1
73,2020,0.033858,Maiz,Zona 14,Buenos Aires,0,1
74,2017,0.0005419,Maiz,Zona 15,Buenos Aires,0,1
75,2018,0.00023009999999999998,Maiz,Zona 15,Buenos Aires,0,1
76,2019,0.00036895,Maiz,Zona 15,Buenos Aires,0,1
77,2015,0.00042,Maiz,Zona 16,Buenos Aires,0,1
78,2016,0.000285,Maiz,Zona 16,Buenos Aires,0,1
79,2017,0.00457029,Maiz,Zona 16,Buenos Aires,0,1
80,2015,0.0003,Maiz,Zona 17,Buenos Aires,0,1
81,2016,0.00651,Maiz,Zona 17,Buenos Aires,0,1
82,2017,0.025,Maiz,Zona 17,Buenos Aires,0,1
83,2018,0.00603,Maiz,Zona 17,Buenos Aires,0,1
84,2019,0.0033294,Maiz,Zona 17,Buenos Aires,0,1
85,2015,0.00135,Maiz,Zona 18,Buenos Aires,0,1
86,2016,0.00280313,Maiz,Zona 18,Buenos Aires,0,1
87,2017,0.00199,Maiz,Zona 18,Buenos Aires,0,1
88,2018,0.000908,Maiz,Zona 18,Buenos Aires,0,1
89,2019,0.0006,Maiz,Zona 18,Buenos Aires,0,1
90,2020,0.00014019,Maiz,Zona 18,Buenos Aires,0,1
91,2015,0.039738350000000006,Maiz,Zona 2,Buenos Aires,0,1
92,2016,0.06427138,Maiz,Zona 2,Buenos Aires,0,1
93,2017,0.06103626000000001,Maiz,Zona 2,Buenos Aires,0,1
94,2018,0.03580724,Maiz,Zona 2,Buenos Aires,0,1
95,2019,0.04360291,Maiz,Zona 2,Buenos Aires,0,1
96,2020,0.001154,Maiz,Zona 2,Buenos Aires,0,1
97,2015,0.023248150000000006,Maiz,Zona 3,Buenos Aires,0,1
98,2016,0.0639837,Maiz,Zona 3,Buenos Aires,0,1
99,2017,0.039271379999999995,Maiz,Zona 3,Buenos Aires,0,1
