,Provincia,Cultivo,EsFinal,LugarEntrega,CantTns,Step From,Step To
47,Buenos Aires,Soja,False,B.Blanca,631733.7799999998,0,1
48,Buenos Aires,Soja,False,Bs As,2081.9199999999996,0,1
49,Buenos Aires,Soja,False,Quequen,754100.0600000002,0,1
50,Buenos Aires,Soja,False,Rosario N,717223.25,0,1
51,Buenos Aires,Soja,False,Rosario S,1112996.5899999996,0,1
52,Buenos Aires,Soja,False,Zona 10,213.11,0,1
53,Buenos Aires,Soja,False,Zona 11,314.21000000000004,0,1
54,Buenos Aires,Soja,False,Zona 12,60892.21,0,1
55,Buenos Aires,Soja,False,Zona 13,40128.73,0,1
56,Buenos Aires,Soja,False,Zona 14,68683.5,0,1
57,Buenos Aires,Soja,False,Zona 15,89.0,0,1
58,Buenos Aires,Soja,False,Zona 16,60.0,0,1
59,Buenos Aires,Soja,False,Zona 17,300.0,0,1
60,Buenos Aires,Soja,False,Zona 18,341.83,0,1
61,Buenos Aires,Soja,False,Zona 2,65905.07,0,1
62,Buenos Aires,Soja,False,Zona 3,194369.67000000004,0,1
63,Buenos Aires,Soja,False,Zona 4,126409.60999999999,0,1
64,Buenos Aires,Soja,False,Zona 5,928907.0000000001,0,1
65,Buenos Aires,Soja,False,Zona 6,329446.6200000001,0,1
66,Buenos Aires,Soja,False,Zona 7,617586.5100000001,0,1
67,Buenos Aires,Soja,False,Zona 8,2954.4799999999996,0,1
68,Buenos Aires,Soja,False,Zona 9,79692.51999999999,0,1
161,Catamarca,Soja,False,Quequen,60.0,0,1
162,Catamarca,Soja,False,Rosario N,420.0,0,1
163,Catamarca,Soja,False,Rosario S,607.6,0,1
164,Catamarca,Soja,False,Zona 11,445.0,0,1
165,Catamarca,Soja,False,Zona 14,392.37,0,1
166,Catamarca,Soja,False,Zona 15,2779.2,0,1
167,Catamarca,Soja,False,Zona 16,110.0,0,1
168,Catamarca,Soja,False,Zona 18,6900.220000000001,0,1
169,Catamarca,Soja,False,Zona 9,141.37,0,1
234,Chaco,Soja,False,Cordoba,15.52,0,1
235,Chaco,Soja,False,Rosario N,376396.35999999987,0,1
236,Chaco,Soja,False,Rosario S,30404.240000000005,0,1
237,Chaco,Soja,False,Zona 11,71.0,0,1
238,Chaco,Soja,False,Zona 12,9989.789999999999,0,1
239,Chaco,Soja,False,Zona 13,171.51,0,1
240,Chaco,Soja,False,Zona 14,23748.530000000002,0,1
241,Chaco,Soja,False,Zona 15,188221.19999999995,0,1
242,Chaco,Soja,False,Zona 17,52853.579999999994,0,1
243,Chaco,Soja,False,Zona 18,680.54,0,1
244,Chaco,Soja,False,Zona 5,11840.0,0,1
245,Chaco,Soja,False,Zona 8,229.85,0,1
246,Chaco,Soja,False,Zona 9,1065.1,0,1
