field_1,Grano,Año,Mes,Origen,Destino,Cantidad,EsFinal,Cantidades
"0",Maiz,"2015","1",Buenos Aires,B.Blanca,"0.00091942",True,
"1",Maiz,"2016","1",Buenos Aires,B.Blanca,"0.03812",True,
"2",Maiz,"2017","1",Buenos Aires,B.Blanca,"0.01284504",True,
"3",Maiz,"2018","1",Buenos Aires,B.Blanca,"0.049405",True,
"4",Maiz,"2019","1",Buenos Aires,B.Blanca,"0.015808",True,
"5",Maiz,"2020","1",Buenos Aires,B.Blanca,"0.02477",True,
"6",Maiz,"2015","2",Buenos Aires,B.Blanca,"0.11462703",True,
"7",Maiz,"2016","2",Buenos Aires,B.Blanca,"0.11090349000000001",True,
"8",Maiz,"2017","2",Buenos Aires,B.Blanca,"0.00540458",True,
"9",Maiz,"2018","2",Buenos Aires,B.Blanca,"0.12630388000000006",True,
"10",Maiz,"2019","2",Buenos Aires,B.Blanca,"0.06497757",True,
"11",Maiz,"2020","2",Buenos Aires,B.Blanca,"0.00103",True,
"12",Maiz,"2015","3",Buenos Aires,B.Blanca,"0.04747014",True,
"13",Maiz,"2016","3",Buenos Aires,B.Blanca,"0.11380713",True,
"14",Maiz,"2017","3",Buenos Aires,B.Blanca,"0.04355149000000002",True,
"15",Maiz,"2018","3",Buenos Aires,B.Blanca,"0.07294917999999999",True,
"16",Maiz,"2019","3",Buenos Aires,B.Blanca,"0.10973146",True,
"17",Maiz,"2020","3",Buenos Aires,B.Blanca,"0.018148",True,
"18",Maiz,"2015","4",Buenos Aires,B.Blanca,"0.030775140000000006",True,
"19",Maiz,"2016","4",Buenos Aires,B.Blanca,"0.10719817999999999",True,
"20",Maiz,"2017","4",Buenos Aires,B.Blanca,"0.08807751",True,
"21",Maiz,"2018","4",Buenos Aires,B.Blanca,"0.10182949000000002",True,
"22",Maiz,"2019","4",Buenos Aires,B.Blanca,"0.31121867",True,
"23",Maiz,"2015","5",Buenos Aires,B.Blanca,"0.12290838000000001",True,
"24",Maiz,"2016","5",Buenos Aires,B.Blanca,"0.16528547",True,
"25",Maiz,"2017","5",Buenos Aires,B.Blanca,"0.25974251",True,
"26",Maiz,"2018","5",Buenos Aires,B.Blanca,"0.12703644000000003",True,
"27",Maiz,"2019","5",Buenos Aires,B.Blanca,"0.36385553000000004",True,
"28",Maiz,"2020","5",Buenos Aires,B.Blanca,"0.236504",True,
"29",Maiz,"2015","6",Buenos Aires,B.Blanca,"0.13516023000000002",True,
"30",Maiz,"2016","6",Buenos Aires,B.Blanca,"0.08476285",True,
"31",Maiz,"2017","6",Buenos Aires,B.Blanca,"0.14982510000000002",True,
"32",Maiz,"2018","6",Buenos Aires,B.Blanca,"0.04008312",True,
"33",Maiz,"2019","6",Buenos Aires,B.Blanca,"0.18010261",True,
"34",Maiz,"2020","6",Buenos Aires,B.Blanca,"0.060384",True,
"35",Maiz,"2015","7",Buenos Aires,B.Blanca,"0.07882869",True,
"36",Maiz,"2016","7",Buenos Aires,B.Blanca,"0.24627292",True,
"37",Maiz,"2017","7",Buenos Aires,B.Blanca,"0.20490996",True,
"38",Maiz,"2018","7",Buenos Aires,B.Blanca,"0.17171313",True,
"39",Maiz,"2019","7",Buenos Aires,B.Blanca,"0.21618472",True,
"40",Maiz,"2020","7",Buenos Aires,B.Blanca,"0.219235",True,
"41",Maiz,"2015","8",Buenos Aires,B.Blanca,"0.05090021",True,
"42",Maiz,"2016","8",Buenos Aires,B.Blanca,"0.17107927999999994",True,
"43",Maiz,"2017","8",Buenos Aires,B.Blanca,"0.15834941999999996",True,
"44",Maiz,"2018","8",Buenos Aires,B.Blanca,"0.16403831",True,
"45",Maiz,"2019","8",Buenos Aires,B.Blanca,"0.2390238499999999",True,
"46",Maiz,"2020","8",Buenos Aires,B.Blanca,"0.187959",True,
"47",Maiz,"2015","9",Buenos Aires,B.Blanca,"0.035229879999999984",True,
"48",Maiz,"2016","9",Buenos Aires,B.Blanca,"0.14038624",True,
"49",Maiz,"2017","9",Buenos Aires,B.Blanca,"0.07249768",True,
"50",Maiz,"2018","9",Buenos Aires,B.Blanca,"0.13795666999999998",True,
"51",Maiz,"2019","9",Buenos Aires,B.Blanca,"0.21446234000000003",True,
"52",Maiz,"2020","9",Buenos Aires,B.Blanca,"0.00443",True,
"53",Maiz,"2015","10",Buenos Aires,B.Blanca,"0.041573019999999995",True,
"54",Maiz,"2016","10",Buenos Aires,B.Blanca,"0.19667891",True,
"55",Maiz,"2017","10",Buenos Aires,B.Blanca,"0.08801664999999999",True,
"56",Maiz,"2018","10",Buenos Aires,B.Blanca,"0.09775874000000001",True,
"57",Maiz,"2019","10",Buenos Aires,B.Blanca,"0.27798301000000003",True,
"58",Maiz,"2020","10",Buenos Aires,B.Blanca,"0.001",True,
"59",Maiz,"2015","11",Buenos Aires,B.Blanca,"0.046053239999999995",True,
"60",Maiz,"2016","11",Buenos Aires,B.Blanca,"0.15422453",True,
"61",Maiz,"2017","11",Buenos Aires,B.Blanca,"0.11952350000000006",True,
"62",Maiz,"2018","11",Buenos Aires,B.Blanca,"0.12799616",True,
"63",Maiz,"2019","11",Buenos Aires,B.Blanca,"0.15560632999999993",True,
"64",Maiz,"2020","11",Buenos Aires,B.Blanca,"0.00027",True,
"65",Maiz,"2015","12",Buenos Aires,B.Blanca,"0.04342933",True,
"66",Maiz,"2016","12",Buenos Aires,B.Blanca,"0.12817663",True,
"67",Maiz,"2017","12",Buenos Aires,B.Blanca,"0.22956400999999996",True,
"68",Maiz,"2018","12",Buenos Aires,B.Blanca,"0.07724294",True,
"69",Maiz,"2019","12",Buenos Aires,B.Blanca,"0.22041435000000006",True,
"70",Maiz,"2015","1",Buenos Aires,Bs As,"0.00265433",True,
"71",Maiz,"2016","1",Buenos Aires,Bs As,"0.0016781300000000001",True,
"72",Maiz,"2017","1",Buenos Aires,Bs As,"0.0006",True,
"73",Maiz,"2018","1",Buenos Aires,Bs As,"0.00029943",True,
"74",Maiz,"2019","1",Buenos Aires,Bs As,"0.00129",True,
"75",Maiz,"2015","2",Buenos Aires,Bs As,"0.01060799",True,
"76",Maiz,"2016","2",Buenos Aires,Bs As,"0.011401620000000001",True,
"77",Maiz,"2017","2",Buenos Aires,Bs As,"0.00595248",True,
"78",Maiz,"2018","2",Buenos Aires,Bs As,"0.00552042",True,
"79",Maiz,"2019","2",Buenos Aires,Bs As,"0.008796849999999998",True,
"80",Maiz,"2015","3",Buenos Aires,Bs As,"0.012818659999999999",True,
"81",Maiz,"2016","3",Buenos Aires,Bs As,"0.010039389999999999",True,
"82",Maiz,"2017","3",Buenos Aires,Bs As,"0.01260994",True,
"83",Maiz,"2018","3",Buenos Aires,Bs As,"0.05370074",True,
"84",Maiz,"2019","3",Buenos Aires,Bs As,"0.00800783",True,
"85",Maiz,"2020","3",Buenos Aires,Bs As,"0.00042",True,
"86",Maiz,"2015","4",Buenos Aires,Bs As,"0.01984927",True,
"87",Maiz,"2016","4",Buenos Aires,Bs As,"0.01120669",True,
"88",Maiz,"2017","4",Buenos Aires,Bs As,"0.00898626",True,
"89",Maiz,"2018","4",Buenos Aires,Bs As,"0.007715",True,
"90",Maiz,"2019","4",Buenos Aires,Bs As,"0.00559292",True,
"91",Maiz,"2020","4",Buenos Aires,Bs As,"0.00141",True,
"92",Maiz,"2015","5",Buenos Aires,Bs As,"0.01108",True,
"93",Maiz,"2016","5",Buenos Aires,Bs As,"0.009108989999999999",True,
"94",Maiz,"2017","5",Buenos Aires,Bs As,"0.011625680000000003",True,
"95",Maiz,"2018","5",Buenos Aires,Bs As,"0.00373949",True,
"96",Maiz,"2019","5",Buenos Aires,Bs As,"0.0079805",True,
"97",Maiz,"2015","6",Buenos Aires,Bs As,"0.07961165",True,
"98",Maiz,"2016","6",Buenos Aires,Bs As,"0.00785699",True,
"99",Maiz,"2017","6",Buenos Aires,Bs As,"0.023265",True,
"100",Maiz,"2018","6",Buenos Aires,Bs As,"0.00831",True,
"101",Maiz,"2019","6",Buenos Aires,Bs As,"0.010192459999999999",True,
"102",Maiz,"2015","7",Buenos Aires,Bs As,"0.01059959",True,
"103",Maiz,"2016","7",Buenos Aires,Bs As,"0.00832832",True,
"104",Maiz,"2017","7",Buenos Aires,Bs As,"0.010319159999999999",True,
"105",Maiz,"2018","7",Buenos Aires,Bs As,"0.009808589999999999",True,
"106",Maiz,"2019","7",Buenos Aires,Bs As,"0.00887515",True,
"107",Maiz,"2015","8",Buenos Aires,Bs As,"0.00988273",True,
"108",Maiz,"2016","8",Buenos Aires,Bs As,"0.00757316",True,
"109",Maiz,"2017","8",Buenos Aires,Bs As,"0.0109516",True,
"110",Maiz,"2018","8",Buenos Aires,Bs As,"0.0077900600000000006",True,
"111",Maiz,"2019","8",Buenos Aires,Bs As,"0.00588227",True,
"112",Maiz,"2015","9",Buenos Aires,Bs As,"0.00703",True,
"113",Maiz,"2016","9",Buenos Aires,Bs As,"0.010448190000000001",True,
"114",Maiz,"2017","9",Buenos Aires,Bs As,"0.01298789",True,
"115",Maiz,"2018","9",Buenos Aires,Bs As,"0.005614889999999998",True,
"116",Maiz,"2019","9",Buenos Aires,Bs As,"0.0055474899999999995",True,
"117",Maiz,"2015","10",Buenos Aires,Bs As,"0.010535",True,
"118",Maiz,"2016","10",Buenos Aires,Bs As,"0.009821209999999999",True,
"119",Maiz,"2017","10",Buenos Aires,Bs As,"0.010137930000000002",True,
"120",Maiz,"2018","10",Buenos Aires,Bs As,"0.00814439",True,
"121",Maiz,"2019","10",Buenos Aires,Bs As,"0.003997280000000001",True,
"122",Maiz,"2015","11",Buenos Aires,Bs As,"0.00945612",True,
"123",Maiz,"2016","11",Buenos Aires,Bs As,"0.00859189",True,
"124",Maiz,"2017","11",Buenos Aires,Bs As,"0.013975",True,
"125",Maiz,"2018","11",Buenos Aires,Bs As,"0.00843549",True,
"126",Maiz,"2019","11",Buenos Aires,Bs As,"0.0033413699999999998",True,
"127",Maiz,"2015","12",Buenos Aires,Bs As,"0.03113248",True,
"128",Maiz,"2016","12",Buenos Aires,Bs As,"0.016504239999999996",True,
"129",Maiz,"2018","12",Buenos Aires,Bs As,"0.015117",True,
"130",Maiz,"2019","12",Buenos Aires,Bs As,"0.0100572",True,
"131",Maiz,"2020","12",Buenos Aires,Bs As,"0.00354",True,
"132",Maiz,"2015","2",Buenos Aires,Cordoba,"9e-05",True,
"133",Maiz,"2018","2",Buenos Aires,Cordoba,"0.000117",True,
"134",Maiz,"2019","2",Buenos Aires,Cordoba,"0.00067",True,
"135",Maiz,"2016","4",Buenos Aires,Cordoba,"6e-05",True,
"136",Maiz,"2018","4",Buenos Aires,Cordoba,"0.00054",True,
"137",Maiz,"2019","4",Buenos Aires,Cordoba,"0.00048",True,
"138",Maiz,"2018","5",Buenos Aires,Cordoba,"0.00058",True,
"139",Maiz,"2019","5",Buenos Aires,Cordoba,"0.00015",True,
"140",Maiz,"2019","7",Buenos Aires,Cordoba,"0.000655",True,
"141",Maiz,"2015","8",Buenos Aires,Cordoba,"5.453e-05",True,
"142",Maiz,"2018","8",Buenos Aires,Cordoba,"3e-05",True,
"143",Maiz,"2018","11",Buenos Aires,Cordoba,"0.0006",True,
"144",Maiz,"2016","12",Buenos Aires,Cordoba,"0.00011166",True,
"145",Maiz,"2018","12",Buenos Aires,Cordoba,"0.00036",True,
"146",Maiz,"2019","12",Buenos Aires,Cordoba,"0.00057",True,
"147",Maiz,"2015","1",Buenos Aires,Quequen,"0.000179",True,
"148",Maiz,"2016","1",Buenos Aires,Quequen,"8.779000000000001e-05",True,
"149",Maiz,"2017","1",Buenos Aires,Quequen,"0.00263042",True,
"150",Maiz,"2018","1",Buenos Aires,Quequen,"0.0082505",True,
"151",Maiz,"2019","1",Buenos Aires,Quequen,"0.00012",True,
"152",Maiz,"2020","1",Buenos Aires,Quequen,"0.0066",True,
"153",Maiz,"2015","2",Buenos Aires,Quequen,"0.011874899999999999",True,
"154",Maiz,"2016","2",Buenos Aires,Quequen,"0.020995470000000002",True,
"155",Maiz,"2017","2",Buenos Aires,Quequen,"0.009424450000000001",True,
"156",Maiz,"2018","2",Buenos Aires,Quequen,"0.021778619999999995",True,
"157",Maiz,"2019","2",Buenos Aires,Quequen,"0.031968830000000004",True,
"158",Maiz,"2020","2",Buenos Aires,Quequen,"0.003497",True,
"159",Maiz,"2015","3",Buenos Aires,Quequen,"0.00124",True,
"160",Maiz,"2016","3",Buenos Aires,Quequen,"0.04905411",True,
"161",Maiz,"2017","3",Buenos Aires,Quequen,"0.006386840000000001",True,
"162",Maiz,"2018","3",Buenos Aires,Quequen,"0.008423739999999999",True,
"163",Maiz,"2019","3",Buenos Aires,Quequen,"0.04128047",True,
"164",Maiz,"2020","3",Buenos Aires,Quequen,"0.00318",True,
"165",Maiz,"2015","4",Buenos Aires,Quequen,"0.00128",True,
"166",Maiz,"2016","4",Buenos Aires,Quequen,"0.034245",True,
"167",Maiz,"2017","4",Buenos Aires,Quequen,"0.0035212399999999997",True,
"168",Maiz,"2018","4",Buenos Aires,Quequen,"0.01140792",True,
"169",Maiz,"2019","4",Buenos Aires,Quequen,"0.009918129999999999",True,
"170",Maiz,"2020","4",Buenos Aires,Quequen,"0.00421",True,
"171",Maiz,"2015","5",Buenos Aires,Quequen,"0.00634335",True,
"172",Maiz,"2016","5",Buenos Aires,Quequen,"0.04093246",True,
"173",Maiz,"2017","5",Buenos Aires,Quequen,"0.011972799999999999",True,
"174",Maiz,"2018","5",Buenos Aires,Quequen,"0.01036073",True,
"175",Maiz,"2019","5",Buenos Aires,Quequen,"0.04206991",True,
"176",Maiz,"2020","5",Buenos Aires,Quequen,"0.033836",True,
"177",Maiz,"2015","6",Buenos Aires,Quequen,"0.04105949000000001",True,
"178",Maiz,"2016","6",Buenos Aires,Quequen,"0.05660656",True,
"179",Maiz,"2017","6",Buenos Aires,Quequen,"0.05556513000000001",True,
"180",Maiz,"2018","6",Buenos Aires,Quequen,"0.04521607",True,
"181",Maiz,"2019","6",Buenos Aires,Quequen,"0.10142508",True,
"182",Maiz,"2020","6",Buenos Aires,Quequen,"0.048846",True,
"183",Maiz,"2015","7",Buenos Aires,Quequen,"0.10565533",True,
"184",Maiz,"2016","7",Buenos Aires,Quequen,"0.18858615",True,
"185",Maiz,"2017","7",Buenos Aires,Quequen,"0.16610962",True,
"186",Maiz,"2018","7",Buenos Aires,Quequen,"0.20921546",True,
"187",Maiz,"2019","7",Buenos Aires,Quequen,"0.29275274",True,
"188",Maiz,"2020","7",Buenos Aires,Quequen,"0.29489822",True,
"189",Maiz,"2015","8",Buenos Aires,Quequen,"0.014575049999999996",True,
"190",Maiz,"2016","8",Buenos Aires,Quequen,"0.08358198999999998",True,
"191",Maiz,"2017","8",Buenos Aires,Quequen,"0.06388131",True,
"192",Maiz,"2018","8",Buenos Aires,Quequen,"0.12866766000000002",True,
"193",Maiz,"2019","8",Buenos Aires,Quequen,"0.11971884999999995",True,
"194",Maiz,"2020","8",Buenos Aires,Quequen,"0.08698",True,
"195",Maiz,"2015","9",Buenos Aires,Quequen,"0.014712459999999995",True,
"196",Maiz,"2016","9",Buenos Aires,Quequen,"0.10767478",True,
"197",Maiz,"2017","9",Buenos Aires,Quequen,"0.06950554",True,
"198",Maiz,"2018","9",Buenos Aires,Quequen,"0.11694489999999999",True,
"199",Maiz,"2019","9",Buenos Aires,Quequen,"0.17951476999999996",True,
"200",Maiz,"2020","9",Buenos Aires,Quequen,"0.0144",True,
"201",Maiz,"2015","10",Buenos Aires,Quequen,"0.01995914",True,
"202",Maiz,"2016","10",Buenos Aires,Quequen,"0.16418561999999995",True,
"203",Maiz,"2017","10",Buenos Aires,Quequen,"0.07996253999999997",True,
"204",Maiz,"2018","10",Buenos Aires,Quequen,"0.0786821",True,
"205",Maiz,"2019","10",Buenos Aires,Quequen,"0.19846013000000004",True,
