,Cultivo,Ano,Origen,Destino,Cantidad
0,Maiz,2015,Buenos Aires,B.Blanca,0.7654035199999999
1,Maiz,2016,Buenos Aires,B.Blanca,1.7046780900000003
2,Maiz,2017,Buenos Aires,B.Blanca,1.47864984
3,Maiz,2018,Buenos Aires,B.Blanca,1.4141174100000002
4,Maiz,2019,Buenos Aires,B.Blanca,2.4978749900000006
5,Maiz,2020,Buenos Aires,B.Blanca,0.827688
6,Maiz,2015,Buenos Aires,Bs As,0.22462024000000003
7,Maiz,2016,Buenos Aires,Bs As,0.11902857000000003
8,Maiz,2017,Buenos Aires,Bs As,0.13664557000000005
9,Maiz,2018,Buenos Aires,Bs As,0.14736006000000001
10,Maiz,2019,Buenos Aires,Bs As,0.08338282000000001
11,Maiz,2020,Buenos Aires,Bs As,0.00549
12,Maiz,2015,Buenos Aires,Cordoba,0.00014453
13,Maiz,2016,Buenos Aires,Cordoba,0.00017166
14,Maiz,2018,Buenos Aires,Cordoba,0.002227
15,Maiz,2019,Buenos Aires,Cordoba,0.002525
16,Maiz,2015,Buenos Aires,Quequen,0.29162795
17,Maiz,2016,Buenos Aires,Quequen,0.92260282
18,Maiz,2017,Buenos Aires,Quequen,0.6884915100000001
19,Maiz,2018,Buenos Aires,Quequen,0.8454822099999997
20,Maiz,2019,Buenos Aires,Quequen,1.2451773699999997
21,Maiz,2020,Buenos Aires,Quequen,0.52745722
22,Maiz,2015,Buenos Aires,Resto del País,0.0011208099999999999
23,Maiz,2016,Buenos Aires,Resto del País,0.0006952600000000002
24,Maiz,2017,Buenos Aires,Resto del País,0.00129534
25,Maiz,2018,Buenos Aires,Resto del País,0.00021746
26,Maiz,2019,Buenos Aires,Resto del País,0.001
27,Maiz,2015,Buenos Aires,Rosario N,0.31787913
28,Maiz,2016,Buenos Aires,Rosario N,0.50553906
29,Maiz,2017,Buenos Aires,Rosario N,0.4295813000000001
30,Maiz,2018,Buenos Aires,Rosario N,0.3438201199999999
31,Maiz,2019,Buenos Aires,Rosario N,0.69375922
32,Maiz,2020,Buenos Aires,Rosario N,0.33343306000000006
33,Maiz,2015,Buenos Aires,Rosario S,0.5438703899999999
34,Maiz,2016,Buenos Aires,Rosario S,0.8475711500000004
35,Maiz,2017,Buenos Aires,Rosario S,0.9738111200000001
36,Maiz,2018,Buenos Aires,Rosario S,0.89553896
37,Maiz,2019,Buenos Aires,Rosario S,1.2874561599999996
38,Maiz,2020,Buenos Aires,Rosario S,0.66043944
39,Maiz,2022,Buenos Aires,Rosario S,0.0002
40,Maiz,2015,Buenos Aires,Zona 1,0.00210312
41,Maiz,2016,Buenos Aires,Zona 1,0.00037
42,Maiz,2017,Buenos Aires,Zona 1,0.0001754
43,Maiz,2018,Buenos Aires,Zona 1,0.00024
44,Maiz,2019,Buenos Aires,Zona 1,2.3e-05
45,Maiz,2015,Buenos Aires,Zona 10,0.00078
46,Maiz,2016,Buenos Aires,Zona 10,0.00038452000000000007
47,Maiz,2017,Buenos Aires,Zona 10,0.00190352
48,Maiz,2018,Buenos Aires,Zona 10,0.00989691
49,Maiz,2019,Buenos Aires,Zona 10,0.009328519999999998
50,Maiz,2020,Buenos Aires,Zona 10,0.00055
