,Provincia,Cultivo,LugarEntrega,Mes,Ano,CantTns,EsFinal,EleccionesNac,EleccionesPre,ProdTns,EstresClimatico,MismaProvDestino,ProvAlejada
0,BUENOS AIRES,Maiz,B.Blanca,1,2015.0,919.4200000000001,True,True,True,8893434.0,True,True,False
1,BUENOS AIRES,Maiz,B.Blanca,1,2016.0,38120.0,True,False,False,10147679.0,True,True,False
2,BUENOS AIRES,Maiz,B.Blanca,1,2017.0,12845.04,True,True,False,12955509.0,True,True,False
3,BUENOS AIRES,Maiz,B.Blanca,1,2018.0,49405.0,True,False,False,12770903.0,True,True,False
4,BUENOS AIRES,Maiz,B.Blanca,1,2019.0,15808.0,True,True,True,16770895.0,True,True,False
5,BUENOS AIRES,Maiz,B.Blanca,1,2020.0,24770.0,True,False,False,,False,True,False
6,BUENOS AIRES,Maiz,B.Blanca,2,2015.0,114627.03,True,True,True,8893434.0,True,True,False
7,BUENOS AIRES,Maiz,B.Blanca,2,2016.0,110903.49,True,False,False,10147679.0,True,True,False
8,BUENOS AIRES,Maiz,B.Blanca,2,2017.0,5404.58,True,True,False,12955509.0,True,True,False
9,BUENOS AIRES,Maiz,B.Blanca,2,2018.0,126303.88000000003,True,False,False,12770903.0,True,True,False
10,BUENOS AIRES,Maiz,B.Blanca,2,2019.0,64977.56999999999,True,True,True,16770895.0,True,True,False
11,BUENOS AIRES,Maiz,B.Blanca,2,2020.0,1030.0,True,False,False,,False,True,False
12,BUENOS AIRES,Maiz,B.Blanca,3,2015.0,47470.14,True,True,True,8893434.0,True,True,False
13,BUENOS AIRES,Maiz,B.Blanca,3,2016.0,113807.12999999999,True,False,False,10147679.0,True,True,False
14,BUENOS AIRES,Maiz,B.Blanca,3,2017.0,43551.49000000002,True,True,False,12955509.0,True,True,False
15,BUENOS AIRES,Maiz,B.Blanca,3,2018.0,72949.18,True,False,False,12770903.0,True,True,False
16,BUENOS AIRES,Maiz,B.Blanca,3,2019.0,109731.46,True,True,True,16770895.0,True,True,False
17,BUENOS AIRES,Maiz,B.Blanca,3,2020.0,18148.0,True,False,False,,False,True,False
18,BUENOS AIRES,Maiz,B.Blanca,4,2015.0,30775.140000000003,True,True,True,8893434.0,True,True,False
19,BUENOS AIRES,Maiz,B.Blanca,4,2016.0,107198.18,True,False,False,10147679.0,True,True,False
20,BUENOS AIRES,Maiz,B.Blanca,4,2017.0,88077.51,True,True,False,12955509.0,True,True,False
21,BUENOS AIRES,Maiz,B.Blanca,4,2018.0,101829.49000000002,True,False,False,12770903.0,True,True,False
22,BUENOS AIRES,Maiz,B.Blanca,4,2019.0,311218.67,True,True,True,16770895.0,True,True,False
23,BUENOS AIRES,Maiz,B.Blanca,5,2015.0,122908.37999999999,True,True,True,8893434.0,True,True,False
24,BUENOS AIRES,Maiz,B.Blanca,5,2016.0,165285.47,True,False,False,10147679.0,True,True,False
25,BUENOS AIRES,Maiz,B.Blanca,5,2017.0,259742.51,True,True,False,12955509.0,True,True,False
26,BUENOS AIRES,Maiz,B.Blanca,5,2018.0,127036.44000000002,True,False,False,12770903.0,True,True,False
27,BUENOS AIRES,Maiz,B.Blanca,5,2019.0,363855.53,True,True,True,16770895.0,True,True,False
28,BUENOS AIRES,Maiz,B.Blanca,5,2020.0,236504.0,True,False,False,,False,True,False
29,BUENOS AIRES,Maiz,B.Blanca,6,2015.0,135160.23,True,True,True,8893434.0,True,True,False
30,BUENOS AIRES,Maiz,B.Blanca,6,2016.0,84762.85,True,False,False,10147679.0,True,True,False
31,BUENOS AIRES,Maiz,B.Blanca,6,2017.0,149825.1,True,True,False,12955509.0,True,True,False
32,BUENOS AIRES,Maiz,B.Blanca,6,2018.0,40083.12,True,False,False,12770903.0,True,True,False
33,BUENOS AIRES,Maiz,B.Blanca,6,2019.0,180102.61,True,True,True,16770895.0,True,True,False
34,BUENOS AIRES,Maiz,B.Blanca,6,2020.0,60384.0,True,False,False,,False,True,False
35,BUENOS AIRES,Maiz,B.Blanca,7,2015.0,78828.69,True,True,True,8893434.0,True,True,False
36,BUENOS AIRES,Maiz,B.Blanca,7,2016.0,246272.91999999998,True,False,False,10147679.0,True,True,False
37,BUENOS AIRES,Maiz,B.Blanca,7,2017.0,204909.96000000002,True,True,False,12955509.0,True,True,False
38,BUENOS AIRES,Maiz,B.Blanca,7,2018.0,171713.13,True,False,False,12770903.0,True,True,False
39,BUENOS AIRES,Maiz,B.Blanca,7,2019.0,216184.72,True,True,True,16770895.0,True,True,False
40,BUENOS AIRES,Maiz,B.Blanca,7,2020.0,219235.0,True,False,False,,False,True,False
41,BUENOS AIRES,Maiz,B.Blanca,8,2015.0,50900.21,True,True,True,8893434.0,True,True,False
42,BUENOS AIRES,Maiz,B.Blanca,8,2016.0,171079.27999999994,True,False,False,10147679.0,True,True,False
43,BUENOS AIRES,Maiz,B.Blanca,8,2017.0,158349.41999999995,True,True,False,12955509.0,True,True,False
44,BUENOS AIRES,Maiz,B.Blanca,8,2018.0,164038.31,True,False,False,12770903.0,True,True,False
45,BUENOS AIRES,Maiz,B.Blanca,8,2019.0,239023.84999999992,True,True,True,16770895.0,True,True,False
46,BUENOS AIRES,Maiz,B.Blanca,8,2020.0,187959.0,True,False,False,,False,True,False
47,BUENOS AIRES,Maiz,B.Blanca,9,2015.0,35229.87999999999,True,True,True,8893434.0,True,True,False
48,BUENOS AIRES,Maiz,B.Blanca,9,2016.0,140386.24,True,False,False,10147679.0,True,True,False
49,BUENOS AIRES,Maiz,B.Blanca,9,2017.0,72497.68,True,True,False,12955509.0,True,True,False
50,BUENOS AIRES,Maiz,B.Blanca,9,2018.0,137956.66999999998,True,False,False,12770903.0,True,True,False
51,BUENOS AIRES,Maiz,B.Blanca,9,2019.0,214462.34000000003,True,True,True,16770895.0,True,True,False
52,BUENOS AIRES,Maiz,B.Blanca,9,2020.0,4430.0,True,False,False,,False,True,False
53,BUENOS AIRES,Maiz,B.Blanca,10,2015.0,41573.020000000004,True,True,True,8893434.0,True,True,False
54,BUENOS AIRES,Maiz,B.Blanca,10,2016.0,196678.90999999997,True,False,False,10147679.0,True,True,False
55,BUENOS AIRES,Maiz,B.Blanca,10,2017.0,88016.65,True,True,False,12955509.0,True,True,False
56,BUENOS AIRES,Maiz,B.Blanca,10,2018.0,97758.74,True,False,False,12770903.0,True,True,False
57,BUENOS AIRES,Maiz,B.Blanca,10,2019.0,277983.01,True,True,True,16770895.0,True,True,False
58,BUENOS AIRES,Maiz,B.Blanca,10,2020.0,1000.0,True,False,False,,False,True,False
59,BUENOS AIRES,Maiz,B.Blanca,11,2015.0,46053.24,True,True,True,8893434.0,True,True,False
60,BUENOS AIRES,Maiz,B.Blanca,11,2016.0,154224.53,True,False,False,10147679.0,True,True,False
61,BUENOS AIRES,Maiz,B.Blanca,11,2017.0,119523.50000000004,True,True,False,12955509.0,True,True,False
62,BUENOS AIRES,Maiz,B.Blanca,11,2018.0,127996.16,True,False,False,12770903.0,True,True,False
63,BUENOS AIRES,Maiz,B.Blanca,11,2019.0,155606.32999999996,True,True,True,16770895.0,True,True,False
64,BUENOS AIRES,Maiz,B.Blanca,11,2020.0,270.0,True,False,False,,False,True,False
65,BUENOS AIRES,Maiz,B.Blanca,12,2015.0,43429.33,True,True,True,8893434.0,True,True,False
66,BUENOS AIRES,Maiz,B.Blanca,12,2016.0,128176.63000000002,True,False,False,10147679.0,True,True,False
67,BUENOS AIRES,Maiz,B.Blanca,12,2017.0,229564.00999999995,True,True,False,12955509.0,True,True,False
68,BUENOS AIRES,Maiz,B.Blanca,12,2018.0,77242.94,True,False,False,12770903.0,True,True,False
