ZONA;PROVINCIA;PARTIDO;LOCALIDAD
Zona 1;MENDOZA;CAPITAL;MENDOZA
Zona 1;MENDOZA;GENERAL ALVEAR;AGUA DEL TORO
Zona 1;MENDOZA;GENERAL ALVEAR;BARRIO SAN CARLOS
Zona 1;MENDOZA;GENERAL ALVEAR;BOWEN
Zona 1;MENDOZA;GENERAL ALVEAR;CANALEJAS
Zona 1;MENDOZA;GENERAL ALVEAR;CARMENSA
Zona 1;MENDOZA;GENERAL ALVEAR;CERRO NEVADO
Zona 1;MENDOZA;GENERAL ALVEAR;COCHICO
Zona 1;MENDOZA;GENERAL ALVEAR;COLONIA ALVEAR (FCDF
Zona 1;MENDOZA;GENERAL ALVEAR;COLONIA ALVEAR (FCGS
Zona 1;MENDOZA;GENERAL ALVEAR;COLONIA ALVEAR OESTE
Zona 1;MENDOZA;GENERAL ALVEAR;COLONIA BOUQUET
Zona 1;MENDOZA;GENERAL ALVEAR;COMPUERTAS NEGRAS
Zona 1;MENDOZA;GENERAL ALVEAR;CORRAL DE LORCA
Zona 1;MENDOZA;GENERAL ALVEAR;COSTA DEL DIAMANTE
Zona 1;MENDOZA;GENERAL ALVEAR;EL ARBOLITO
Zona 1;MENDOZA;GENERAL ALVEAR;EL AZUFRE
Zona 1;MENDOZA;GENERAL ALVEAR;EL BANDERON
Zona 1;MENDOZA;GENERAL ALVEAR;EL CEIBO
Zona 1;MENDOZA;GENERAL ALVEAR;EL JUNCALITO
Zona 1;MENDOZA;GENERAL ALVEAR;EL NEVADO
Zona 1;MENDOZA;GENERAL ALVEAR;EL REFUGIO
Zona 1;MENDOZA;GENERAL ALVEAR;EL RETIRO (COLONIA A
Zona 1;MENDOZA;GENERAL ALVEAR;GASPAR CAMPOS
Zona 1;MENDOZA;GENERAL ALVEAR;GENERAL ALVEAR
Zona 1;MENDOZA;GENERAL ALVEAR;GOICO
Zona 1;MENDOZA;GENERAL ALVEAR;JAIME PRATS
Zona 1;MENDOZA;GENERAL ALVEAR;KILOMETRO 56,335 (FC
Zona 1;MENDOZA;GENERAL ALVEAR;KILOMETRO 882 (APEAD
Zona 1;MENDOZA;GENERAL ALVEAR;KILOMETRO 884
Zona 1;MENDOZA;GENERAL ALVEAR;LA ADELINA
Zona 1;MENDOZA;GENERAL ALVEAR;LA ESCANDINAVA
Zona 1;MENDOZA;GENERAL ALVEAR;LA ESCONDIDA
Zona 1;MENDOZA;GENERAL ALVEAR;LA MARZOLINA
Zona 1;MENDOZA;GENERAL ALVEAR;LA MONTILLA
Zona 1;MENDOZA;GENERAL ALVEAR;LA MORA
Zona 1;MENDOZA;GENERAL ALVEAR;LA POMONA
Zona 1;MENDOZA;GENERAL ALVEAR;LA VARITA
Zona 1;MENDOZA;GENERAL ALVEAR;LAS COMPUERTAS NEGRA
Zona 1;MENDOZA;GENERAL ALVEAR;LOS ANGELES
Zona 1;MENDOZA;GENERAL ALVEAR;LOS CAMPAMENTOS (BOW
Zona 1;MENDOZA;GENERAL ALVEAR;LOS COMPARTOS
Zona 1;MENDOZA;GENERAL ALVEAR;LOS HUARPES (APEADER
Zona 1;MENDOZA;GENERAL ALVEAR;MEDIA LUNA
Zona 1;MENDOZA;GENERAL ALVEAR;OVEJERIA (ESTACION F
Zona 1;MENDOZA;GENERAL ALVEAR;PAMPA DEL TIGRE (EMB
Zona 1;MENDOZA;GENERAL ALVEAR;POSTE DE FIERRO
Zona 1;MENDOZA;GENERAL ALVEAR;PUEBLO LUNA
Zona 1;MENDOZA;GENERAL ALVEAR;SAN PEDRO DE ATUEL
Zona 1;MENDOZA;GENERAL ALVEAR;SANTA ELENA
Zona 1;MENDOZA;GENERAL ALVEAR;TAMBITO
Zona 1;MENDOZA;GENERAL ALVEAR;VILLA COMPARTO
Zona 1;MENDOZA;GODOY CRUZ;BARRIO BOMBAL SUD
Zona 1;MENDOZA;GODOY CRUZ;BARRIO F.O.E.C.Y.T.
